id,category,sub_category,order_date,sales
CG-12520,Furniture,Bookcases,2016-11-08,261.96
CG-12520,Furniture,Chairs,2016-11-08,731.94
DV-13045,Office Supplies,Labels,2016-06-12,14.62
SO-20335,Furniture,Tables,2015-10-11,957.5775
SO-20335,Office Supplies,Storage,2015-10-11,22.368
BH-11710,Furniture,Furnishings,2014-06-09,48.86
BH-11710,Office Supplies,Art,2014-06-09,7.28
BH-11710,Technology,Phones,2014-06-09,907.152
BH-11710,Office Supplies,Binders,2014-06-09,18.504
BH-11710,Office Supplies,Appliances,2014-06-09,114.9
BH-11710,Furniture,Tables,2014-06-09,1706.184
BH-11710,Technology,Phones,2014-06-09,911.424
AA-10480,Office Supplies,Paper,2017-04-15,15.552
IM-15070,Office Supplies,Binders,2016-12-05,407.976
HP-14815,Office Supplies,Appliances,2015-11-22,68.81
HP-14815,Office Supplies,Binders,2015-11-22,2.544
PK-19075,Office Supplies,Storage,2014-11-11,665.88
AG-10270,Office Supplies,Storage,2014-05-13,55.5
ZD-21925,Office Supplies,Art,2014-08-27,8.56
ZD-21925,Technology,Phones,2014-08-27,213.48
ZD-21925,Office Supplies,Binders,2014-08-27,22.72
KB-16585,Office Supplies,Art,2016-12-09,19.46
KB-16585,Office Supplies,Appliances,2016-12-09,60.34
SF-20065,Furniture,Chairs,2017-07-16,71.372
EB-13870,Furniture,Tables,2015-09-25,1044.63
EH-13945,Office Supplies,Binders,2016-01-16,11.648
EH-13945,Technology,Accessories,2016-01-16,90.57
TB-21520,Furniture,Bookcases,2015-09-17,3083.43
TB-21520,Office Supplies,Binders,2015-09-17,9.618
TB-21520,Furniture,Furnishings,2015-09-17,124.2
TB-21520,Office Supplies,Envelopes,2015-09-17,3.264
TB-21520,Office Supplies,Art,2015-09-17,86.304
TB-21520,Office Supplies,Binders,2015-09-17,6.858
TB-21520,Office Supplies,Art,2015-09-17,15.76
MA-17560,Office Supplies,Paper,2017-10-19,29.472
GH-14485,Technology,Phones,2016-12-08,1097.544
GH-14485,Furniture,Furnishings,2016-12-08,190.92
SN-20710,Office Supplies,Envelopes,2015-12-27,113.328
SN-20710,Furniture,Bookcases,2015-12-27,532.3992
SN-20710,Furniture,Chairs,2015-12-27,212.058
SN-20710,Technology,Phones,2015-12-27,371.168
LC-16930,Technology,Phones,2017-09-10,147.168
RA-19885,Office Supplies,Storage,2016-07-17,77.88
ES-14080,Office Supplies,Storage,2017-09-19,95.616
ON-18715,Technology,Accessories,2016-03-11,45.98
